x,y,r
1110.1,d-636.2,4
55.6,d-217.2,3
582.4,d-422.6,3
147.5,d-275.3,3
729.9,d-482.9,3
859,d-534.4,3
52.2,d-223.3,3
266.6,d-270.8,2
328.9,d-331.1,3
45.7,d-224.2,3
481,d-339.4,4
237.8,d-296.9,4
183.1,d-275.9,3
973.7,d-578.4,3
770.8,d-453.3,
804.1,d-449.1,3
620.4,d-386.3,3
843.7,d-483.4,3
381.7,d-337.1,4
273.1,d-307.5,
981.3,d-557.9,3
979.5,d-545.7,3
933.6,d-548.9,2
116.7,d-232.3,4
,d-389,2
712.3,d-410,3
995.8,d-527,3
603.8,d-388.5,2
1054.7,d-577.7,2
575.5,d-366.3,4
452.3,d-333.2,3
1084,d-581.4,3
272.6,d-315.8,3
886,d-458.6,3
628,d-402,3
381.7,d-321.8,2
1141.7,d-593.9,4
979.3,d-556.1,3
--,d-426.3,3
362.4,d-305.2,4
242.6,d-289.8,3
302.2,d-304.9,4
779.2,d-494.1,3
80.3,d-214.5,3
744.4,d-478.7,3
136.1,d-239.9,2
268.8,d-292.9,3
192.9,d-268,3
1046.4,d-562.3,3
870.8,d-478.6,3
957.8,d-514,2
158.7,d-241.5,3
57.7,d-221.1,3
660.6,d-419.2,3
736.2,d-413.2,3
998.6,d-536.4,3
1097.1,d-625.2,4
1140.6,d-593.1,3
496.8,d-406.1,4
891,d-535.5,3
473.2,d-333.5,3
394.9,d-335.5,3
512.2,d-341.6,3
647.6,d-380.5,2
578,d-424.7,2
454.9,d-335.9,3
595.8,d-395.8,4
214.1,d-299.5,2
216.2,d-246.7,2
301,d-319.2,2
930.9,d-494.3,3
1168.6,d-587.8,4
331.8,d-293.9,3
1137.6,d-624.4,2
664.9,d-406.6,2
235.4,d-306.5,3
324.8,d-305,3
894,d-485.8,4
615.4,d-411.6,2
337.5,d-291.4,4
1.8,d-212.6,3
512.3,d-344.4,3
674.6,d-467.5,3
568.8,d-380.5,3
407.4,d-357,3
444.7,d-359.1,3
895.1,d-523.5,2
1145.3,d-572,3
870.6,d-491.4,4
617.3,d-380,3
777.3,d-480.5,4
979.9,d-559.8,2
1052.3,d-520.5,2
741.2,d-495.3,3
899.5,d-472.5,3
118.3,d-243.1,4
873,d-531.6,3
892.7,d-459.2,2
647.3,d-390.5,4
